sn,object type,object,time,Capacity usage(%),Mapped LUN capacity(MB),Total capacity(MB),Used capacity(MB),array_num
20231121131239,Array,System,2022-12-03 00:00:00,36.72692845890273,,3619711450.449219,1329408834.825195,Array3
20231121131239,Array,System,2022-12-04 00:00:00,36.58799361510232,,3619711450.449219,1324379794.375488,Array3
20231121131239,Array,System,2022-12-05 00:00:00,36.46999852210782,,3619711450.449219,1320108712.483398,Array3
20231121131239,Array,System,2022-12-06 00:00:00,36.51187721947523,,3619711450.449219,1321624600.487305,Array3
20231121131239,Array,System,2022-12-07 00:00:00,36.71979319244117,,3619711450.449219,1329150558.768066,Array3
20231121131239,Array,System,2022-12-08 00:00:00,36.8446266480785,,3619711450.449219,1333669169.655762,Array3
20231121131239,Array,System,2022-12-09 00:00:00,36.89891498926665,,3619711450.449219,1335634250.958008,Array3
20231121131239,Array,System,2022-12-10 00:00:00,37.57939981927955,,3619711450.449219,1360265838.268555,Array3
20231121131239,Array,System,2022-12-11 00:00:00,37.68404387774001,,3619711450.449219,1364053651.234863,Array3
20231121131239,Array,System,2022-12-12 00:00:00,37.68800079263029,,3619711450.449219,1364196880.136231,Array3
20231121131239,Array,System,2022-12-13 00:00:00,37.744388212956366,,3619711450.449219,1366237942.046387,Array3
20231121131239,Array,System,2022-12-14 00:00:00,38.0621518005053,,3619711450.449219,1377740067.010254,Array3
20231121131239,Array,System,2022-12-15 00:00:00,38.3250014685246,,3619711450.449219,1387254466.541016,Array3
20231121131239,Array,System,2022-12-16 00:00:00,38.92325672412124,,3619711450.449219,1408909580.530762,Array3
20231121131239,Array,System,2022-12-17 00:00:00,39.211062597272125,,3619711450.449219,1419327322.67627,Array3
20231121131239,Array,System,2022-12-18 00:00:00,39.24822542747636,,3619711450.449219,1420672509.896484,Array3
20231121131239,Array,System,2022-12-19 00:00:00,39.320555143357126,,3619711450.449219,1423290636.904297,Array3
20231121131239,Array,System,2022-12-20 00:00:00,39.53151386952973,,3619711450.449219,1430926734.071289,Array3
20231121131239,Array,System,2022-12-21 00:00:00,39.761617372630106,,3619711450.449219,1439255816.920898,Array3
